项目简称,项目编号,项目名称
NBML4S,B2212B90,宁波市轨道交通4号线延伸工程车辆采购项目（TCM转向架）
NBML7,B2312B01,宁波市轨道交通7号线车辆厂内新造
NMML1,166900,印度新孟买地铁1#线新造
NNL1,164839,南宁轨道交通1#线一期分包项目车辆总成组装（0026-0028）
NNL2,170400,南宁地铁2号线项目新造
NNL2S,B18B0891,南宁地铁2号线东延线项目新造
NNL3,B17C0071,南宁轨道交通3号线项目 
NNL4,B18B1001,南宁轨道交通4号线一期项目新造（本部） 
NNL5,B19B0201,南宁地铁5号线一期项目新造
PDEMU,C2002B10,菲律宾DEMU项目新造（0001-0003）
QDL8BEV,D2406B01,青岛地铁8号线支线蓄电池工程车项目车辆厂内新造
RGSE,163800,印度古尔冈快速地铁南延线项目（0001-0007）
RTS Link,B2114B91,马来西亚新加坡柔新捷运项目分包
RTS Link,B2114B90,马来西亚新加坡柔新捷运项目（TCM转向架）
RTS Link,B2114B01,马来西亚新加坡柔新捷运项目车辆厂内新造
SHL11D,166800,上海轨道交通11#线（罗山路至迪士尼段）增购项目新造（0001-0010）
SHL18,B18B0301,上海市轨道交通18号线一期项目新造（0001-0050） 
SML16EXP,B18B0401,上海轨道交通“补短板”车辆增购项目-16号线车辆增购项目新造 
SML18EXP,B2311B01,上海市轨道交通18号线二期项目车辆厂内新造
SML1EXP2,171200,上海地铁1号线增购项目新造（0001-0011）
SML1EXP4G,B2329B15,上海市轨道交通1号线增购及延寿改造项目专项修复、技术改造
SML1EXP4G,B2329B91,上海市轨道交通1号线增购及延寿改造项目（分包） 
SML22,B2433B01,上海市域崇明线工程车辆采购项目车辆厂内新造
SRT1.0,X1658T00,储能式超长无轨电车研制
SRT3.2,M2201A02,三两模块集中式驱动电子导向胶轮列车项目（SRT3.2两模块）
SYC,X21CMQ00,时速160~200公里CJ6型动车组平台研制领料
SYD160,A1710030,160KM市域车研制 
SZLHLF,173500,深圳市龙华新区现代有轨电车项目新造（0001-0015） 
SZLHYGEXP,F2501B01,深圳龙华有轨电车车辆厂内新造
SZMC2&8,B2513B01,深圳2号线增购及8号线二期车辆厂内新造
SZMCL16E,B2402B01,深圳地铁16号线二期项目车辆厂内新造
SZML11,163609,深圳地铁11#线项目材料销售 
SZML16,B2014B01,深圳地铁16号线项目车辆厂内新造
SZML16BLEXP,D2501B01,深圳16号线二期工程车车辆厂内新造
SZML1E,D19B0101,深圳地铁1号线续建项目大修
SZML1S,162200,深圳地铁1#线增购项目新造
SZML258,B18B0701,深圳地铁8号线一期工程车辆项目新造（0001-0025） 
SZML258,B18B0601,深圳地铁2号线三期工程车辆项目新造（0001-0006） 
SZML258,B18B0501,深圳地铁5号线南延工程车辆项目新造（0001-0007）
